TOWN11CD,TOWN11NM,POPULATION_2011,SIZE_FLAG,RGN11NM,COASTAL,COASTAL DETAILED,TTWA11CD,TTWA11NM,TTWA CLASSIFICATION,JOB DENSITY FLAG,INCOME FLAG,UNIVERSITY FLAG,Level4Qual_residents35-64_2011,KS4_2012-2013_counts,Key Stage 2 attainment_school year 2007 to 2008,Key Stage 4 attainment_school year 2012 to 2013,Level 2 at age 18,Level 3 at age 18,Activity at age 19: full-time higher education,Activity at age 19: sustained further education,Activity at age 19: appprenticeships,Activity at age 19: employment with earnings above 0,Activity at age 19: employment with earnings above 10K,Activity at age 19: out-of-work,Highest level qualification achieved by age 22: less than level 1,Highest level qualification achieved by age 22: level 1 to level 2,Highest level qualification achieved by age 22: level 3 to level 5,Highest level qualification achieved by age 22: level 6 or above,Highest level qualification achieved by age 22: average score,Education Score
E34002446,Honiton BUA,11483,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000206,Exeter,Majority town and city (Large Towns),Working,Mid deprivation towns,No university,Low,135,70.0,48.1,87.3,43.3,25.9,20.0,17.0,62.2,28.1,*,*,28.4,47.8,22.4,3.3,-2.8
E34002470,Chippenham (Wiltshire) BUA,35800,Medium Towns,South West,Non-coastal,Large non-coastal town,E30000280,Trowbridge,Majority town and city (small),Working,Lower deprivation towns,No university,Medium,507,75.7,64.3,85.4,53.5,35.5,16.4,10.5,50.1,27.0,5.5,3.7,22.0,43.8,30.5,3.6,1.0
E34002474,Gillingham (North Dorset) BUA,11278,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000172,Blandford Forum and Gillingham,Majority rural,Mixed,Lower deprivation towns,No university,Low,140,74.8,65.0,86.4,58.6,32.1,16.4,14.3,54.3,35.0,*,*,22.5,51.4,25.4,3.5,1.3
E34002475,Redbourn BUA,5113,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000237,Luton,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,High,56,74.5,76.8,92.9,75.0,62.5,*,*,37.5,*,*,*,*,29.8,61.4,4.7,7.2
E34002505,West Mersea BUA,7057,Small Towns,East of England,Coastal,Smaller seaside town,E30000193,Colchester,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,67,67.6,65.7,80.6,58.2,37.3,25.4,17.9,49.3,22.4,*,*,25.4,44.8,*,3.6,0.7
E34002511,Tring BUA,11929,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000237,Luton,Majority town and city (Large Towns),Mixed,Lower deprivation towns,No university,High,141,86.0,69.5,87.9,69.5,53.2,11.3,*,42.6,17.0,*,*,16.1,36.4,45.5,4.1,5.6
E34002512,Guisborough BUA,16979,Small Towns,North East,Non-coastal,Smaller non-coastal town,E30000093,Middlesbrough and Stockton,Majority town and city (Large Towns),Residential,Mid deprivation towns,No university,Medium,201,78.0,59.2,75.6,45.8,39.8,24.4,17.4,42.8,12.9,13.4,*,22.9,39.8,34.8,3.8,0.6
E34002528,Olney BUA,6477,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000243,Milton Keynes,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,High,69,93.4,87.0,95.7,81.2,65.2,*,*,37.7,15.9,*,*,*,31.9,58.0,4.6,10.7
E34002529,New Alresford BUA,5431,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000267,Southampton,Majority town and city (Large Towns),Mixed,Lower deprivation towns,No university,High,55,75.4,65.5,90.9,61.8,45.5,21.8,*,43.6,20.0,*,*,*,50.9,*,3.8,2.6
E34002540,Marchwood BUA,6141,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000267,Southampton,Majority town and city (Large Towns),Mixed,Lower deprivation towns,No university,Medium,69,69.3,66.7,89.9,65.2,36.2,20.3,*,62.3,26.1,*,*,14.7,55.9,*,3.7,2.0
E34002554,Rugeley BUA,24033,Medium Towns,West Midlands,Non-coastal,Large non-coastal town,E30000271,Stafford,Majority town and city (small),Mixed,Higher deprivation towns,No university,Low,292,64.6,58.6,77.1,35.6,20.5,22.3,16.1,56.5,35.3,8.9,3.4,34.7,43.0,18.9,3.1,-3.8
E34002562,Saffron Walden BUA,15210,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000186,Cambridge,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,Medium,174,85.8,70.1,86.2,60.9,43.1,16.7,12.1,50.0,24.7,*,*,20.5,39.8,36.9,3.8,4.0
E34002605,Knutsford BUA,13191,Small Towns,North West,Non-coastal,Smaller non-coastal town,E30000197,Crewe,Majority town and city (small),Working,Lower deprivation towns,No university,High,129,77.5,66.7,89.9,62.8,50.4,13.2,8.5,43.4,21.7,*,*,18.3,32.8,45.8,4.1,3.7
E34002608,Shepley BUA,5444,Small Towns,Yorkshire and The Humber,Non-coastal,Smaller non-coastal town,E30000219,Huddersfield,Majority conurbation,Residential,Lower deprivation towns,No university,Medium,58,69.0,70.7,94.8,67.2,51.7,17.2,*,55.2,20.7,*,*,*,54.4,*,4.0,3.3
E34002609,Biggleswade BUA,16551,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000272,Stevenage and Welwyn Garden City,Majority town and city (Large Towns),Mixed,Lower deprivation towns,No university,Low,222,73.6,53.6,80.6,48.6,33.8,16.7,11.7,50.9,27.5,6.3,*,30.6,37.4,29.3,3.5,-1.1
E34002624,Ripon BUA,16363,Small Towns,Yorkshire and The Humber,Non-coastal,Smaller non-coastal town,E30000214,Harrogate,Majority town and city (Large Towns),Mixed,Lower deprivation towns,No university,Medium,176,76.8,76.7,83.0,55.7,36.9,22.7,14.2,54.5,31.8,*,*,26.4,44.9,28.1,3.5,2.5
E34002637,Selsey BUA,10550,Small Towns,South East,Coastal,Smaller seaside town,E30000191,Chichester and Bognor Regis,Majority town and city (small),Residential,Mid deprivation towns,No university,Low,111,64.7,53.2,69.4,36.9,18.0,14.4,*,50.5,27.0,9.9,*,38.4,40.2,*,3.0,-4.5
E34002653,Ilfracombe BUA,11184,Small Towns,South West,Coastal,Smaller seaside town,E30000162,Barnstaple,Majority rural,Mixed,Higher deprivation towns,No university,Low,133,85.9,60.2,84.2,45.1,30.1,15.8,*,42.9,18.8,7.5,*,31.8,39.4,26.5,3.4,0.6
E34002678,Saltburn-by-the-Sea BUA,5958,Small Towns,North East,Coastal,Smaller seaside town,E30000093,Middlesbrough and Stockton,Majority town and city (Large Towns),Residential,Higher deprivation towns,No university,Medium,72,74.6,59.7,84.7,47.2,34.7,30.6,19.4,37.5,18.1,*,*,26.0,45.2,*,3.5,-0.4
E34002686,Ventnor BUA,5976,Small Towns,South East,Coastal,Smaller seaside town,E30000070,Isle of Wight,Majority town and city (small),Residential,Higher deprivation towns,No university,Medium,53,69.8,49.1,75.5,43.4,18.9,22.6,*,45.3,20.8,*,*,25.9,53.7,*,3.2,-3.1
E34002689,Newton Aycliffe BUA,25964,Medium Towns,North East,Non-coastal,Large non-coastal town,E30000203,Durham and Bishop Auckland,Majority rural,Working,Higher deprivation towns,No university,Low,325,68.0,61.8,85.2,45.5,27.7,24.3,18.5,44.3,22.2,17.8,*,26.9,47.7,22.9,3.3,-1.5
E34002694,Newbiggin-by-the-Sea BUA,6308,Small Towns,North East,Coastal,Smaller seaside town,E30000173,Blyth and Ashington,Majority town and city (small),Residential,Higher deprivation towns,No university,Low,72,49.2,33.3,83.3,30.6,13.9,22.2,16.7,41.7,23.6,*,*,47.2,44.4,*,2.7,-9.6
E34002712,Filey BUA,6530,Small Towns,Yorkshire and The Humber,Coastal,Smaller seaside town,E30000259,Scarborough,Majority town and city (small),Residential,Higher deprivation towns,No university,Low,64,75.0,43.8,75.0,48.4,31.3,23.4,*,42.2,17.2,*,*,30.2,42.9,*,3.4,-2.1
E34002717,Hoo St Werburgh BUA,6113,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000242,Medway,Majority town and city (Large Towns),Residential,Mid deprivation towns,No university,Low,93,73.0,53.8,90.3,30.1,16.1,20.4,12.9,57.0,36.6,10.8,*,45.3,35.8,*,2.9,-4.4
E34002727,Arlesey BUA,5584,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000272,Stevenage and Welwyn Garden City,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Low,51,67.3,56.9,94.1,43.1,19.6,27.5,23.5,54.9,37.3,*,*,37.3,41.2,*,3.2,-2.7
E34002729,South Woodham Ferrers BUA,16453,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000188,Chelmsford,Majority town and city (Large Towns),Mixed,Lower deprivation towns,No university,Low,245,81.8,59.2,90.2,59.6,34.7,19.2,16.3,60.0,35.9,*,*,22.0,44.7,32.5,3.7,2.2
E34002730,Earls Barton BUA,5387,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000224,Kettering and Wellingborough,Majority town and city (small),Mixed,Lower deprivation towns,No university,Medium,64,73.0,71.9,84.4,54.7,39.1,18.8,17.2,43.8,25.0,*,*,28.1,40.6,*,3.6,1.7
E34002733,Lichfield BUA,32877,Medium Towns,West Midlands,Non-coastal,Large non-coastal town,E30000288,Wolverhampton and Walsall,Majority conurbation,Working,Mid deprivation towns,No university,Medium,384,79.8,66.7,84.4,51.8,39.1,19.3,12.5,49.2,19.5,6.0,*,24.1,38.1,36.3,3.8,2.2
E34002746,Calverton BUA,6868,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000249,Nottingham,Majority conurbation,Residential,Lower deprivation towns,No university,Low,88,91.5,65.9,87.5,44.3,28.4,22.7,*,48.9,26.1,*,*,20.2,56.2,*,3.4,1.8
E34002766,Blackfield BUA,13712,Small Towns,South East,Coastal,Smaller other coastal town,E30000267,Southampton,Majority town and city (Large Towns),Mixed,Mid deprivation towns,No university,Low,162,70.8,51.2,76.5,35.2,21.6,25.9,14.8,55.6,32.1,6.8,6.2,28.0,47.2,18.6,3.1,-3.9
E34002796,Yaxley BUA,9174,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000108,Peterborough,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Low,113,74.1,63.7,81.3,47.3,31.0,12.4,10.6,49.6,23.9,*,*,30.4,41.7,26.1,3.4,-0.4
E34002801,Lymm BUA,11608,Small Towns,North West,Non-coastal,Smaller non-coastal town,E30000284,Warrington and Wigan,Majority conurbation,Residential,Lower deprivation towns,No university,High,147,91.0,73.5,89.1,76.9,57.8,10.9,6.8,38.1,11.6,6.8,*,11.0,35.2,51.7,4.4,8.1
E34002816,Dereham BUA,20651,Medium Towns,East of England,Non-coastal,Large non-coastal town,E30000248,Norwich,Majority town and city (Large Towns),Mixed,Mid deprivation towns,No university,Low,229,64.5,51.5,79.9,39.7,26.2,20.5,16.2,54.1,29.3,7.0,*,40.5,37.0,19.8,3.1,-4.2
E34002820,Shrewsbury BUA,71715,Medium Towns,West Midlands,Non-coastal,Large non-coastal town,E30000262,Shrewsbury,Majority town and city (Large Towns),Working,Mid deprivation towns,No university,Medium,705,76.0,64.3,84.0,51.3,33.3,18.6,12.8,52.2,22.0,8.8,1.6,26.4,45.1,27.0,3.5,0.6
E34002826,Witley BUA,6437,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000212,Guildford and Aldershot,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,79,79.1,67.1,89.9,55.7,44.3,13.9,*,46.8,19.0,*,*,19.5,41.6,39.0,4.0,3.1
E34002854,Newport (Telford and Wrekin) BUA,12741,Small Towns,West Midlands,Non-coastal,Smaller non-coastal town,E30000278,Telford,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,145,80.3,71.0,90.3,57.2,44.8,16.6,12.4,42.1,21.4,8.3,*,15.3,45.8,38.2,4.0,3.8
E34002872,Beaconsfield BUA,13797,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000218,High Wycombe and Aylesbury,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,High,126,87.1,79.4,93.7,78.6,59.5,7.9,*,38.9,15.9,*,*,10.9,37.5,50.8,4.4,8.3
E34002877,Croesowallt BUA,18743,Small Towns,West Midlands,Non-coastal,Smaller non-coastal town,K01000014,Oswestry,Majority rural,Working,Higher deprivation towns,No university,Low,161,72.2,54.0,84.5,37.9,31.1,18.0,10.6,54.7,25.5,10.6,*,41.1,28.8,27.6,3.3,-2.6
E34002878,Chapel-en-le-Frith BUA,6598,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000185,Buxton,Majority town and city (small),Mixed,Lower deprivation towns,No university,Medium,82,80.8,70.7,85.4,59.8,30.5,18.3,13.4,58.5,32.9,*,*,21.0,51.9,*,3.5,2.5
E34002906,Longridge BUA,7526,Small Towns,North West,Non-coastal,Smaller non-coastal town,E30000255,Preston,Majority town and city (Large Towns),Mixed,Lower deprivation towns,No university,Medium,80,86.1,63.8,90.0,52.5,31.3,21.3,18.8,60.0,30.0,*,*,22.5,52.5,*,3.6,2.0
E34002917,Verwood BUA,13360,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000175,Bournemouth,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,172,77.2,55.8,80.2,54.1,37.8,14.5,12.2,54.1,29.1,*,*,23.7,43.9,31.8,3.7,0.7
E34002927,Whitchurch (Shropshire) BUA,9710,Small Towns,West Midlands,Non-coastal,Smaller non-coastal town,E30000262,Shrewsbury,Majority town and city (Large Towns),Mixed,Higher deprivation towns,No university,Low,113,63.4,57.5,69.0,46.9,39.8,19.5,13.3,51.3,23.0,*,*,30.1,30.1,35.4,3.6,-1.7
E34002963,Tidworth BUA,9174,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000258,Salisbury,Majority rural,Residential,Lower deprivation towns,No university,Low,87,60.2,42.5,88.5,28.7,23.0,*,*,65.5,40.2,*,*,51.7,23.6,*,3.0,-6.8
E34002971,Bracebridge Heath BUA,5656,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000231,Lincoln,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,70,81.7,85.7,97.1,71.4,50.0,25.7,18.6,60.0,27.1,*,*,*,46.5,42.3,4.2,7.1
E34002993,Barton-upon-Humber BUA,11066,Small Towns,Yorkshire and The Humber,Coastal,Smaller other coastal town,E30000260,Scunthorpe,Majority town and city (Large Towns),Working,Higher deprivation towns,No university,Low,124,74.4,50.8,93.5,42.7,36.3,19.4,10.5,38.7,21.0,8.9,*,27.0,43.4,28.7,3.6,-1.4
E34003008,Aylsham BUA,6016,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000248,Norwich,Majority town and city (Large Towns),Residential,Mid deprivation towns,No university,Medium,53,62.7,66.0,90.6,43.4,18.9,*,*,47.2,*,*,*,27.3,52.7,*,3.1,-2.5
E34003021,Poringland BUA,5132,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000248,Norwich,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,48,68.9,66.7,87.2,53.2,31.3,*,*,41.7,20.8,*,*,29.8,46.8,*,3.3,-0.3
E34003024,Manningtree BUA,5696,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000193,Colchester,Majority town and city (Large Towns),Mixed,Lower deprivation towns,No university,Medium,61,78.1,54.1,80.3,49.2,32.8,23.0,16.4,47.5,26.2,*,*,31.7,43.3,*,3.4,-0.6
E34003029,Keynsham BUA,15641,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000180,Bristol,Majority town and city (Large Towns),Working,Mid deprivation towns,No university,Medium,177,82.0,67.2,89.3,54.2,33.9,20.3,15.8,47.5,27.7,*,*,16.6,53.7,28.6,3.7,2.4
E34003071,Sleaford BUA,17359,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000231,Lincoln,Majority town and city (Large Towns),Working,Mid deprivation towns,No university,Low,226,79.1,57.1,87.2,49.6,33.2,18.6,9.7,46.5,22.6,10.6,*,26.5,43.8,26.5,3.5,0.0
E34003078,Barrow-in-Furness BUA,45865,Medium Towns,North West,Coastal,Large other coastal town,E30000163,Barrow-in-Furness,Majority town and city (small),Working,Higher deprivation towns,No university,Low,561,68.5,48.5,71.7,35.8,16.9,39.0,26.7,44.6,25.1,16.9,4.1,28.6,52.1,15.2,3.0,-4.5
E34003082,Wellesbourne BUA,5849,Small Towns,West Midlands,Non-coastal,Smaller non-coastal town,E30000228,Leamington Spa,Majority town and city (small),Mixed,Lower deprivation towns,No university,Medium,49,90.4,75.5,91.8,61.2,30.6,22.4,*,63.3,24.5,*,*,*,49.0,*,3.7,4.9
E34003098,Clowne BUA,7590,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000190,Chesterfield,Majority town and city (Large Towns),Residential,Higher deprivation towns,No university,Low,79,86.8,60.8,89.9,46.8,31.6,19.0,*,45.6,24.1,16.5,*,25.6,46.2,*,3.5,1.1
E34003102,Chatteris BUA,10298,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000221,Huntingdon,Majority rural,Residential,Higher deprivation towns,No university,Low,120,73.6,55.8,87.5,46.7,20.8,15.0,10.0,52.5,24.2,11.7,*,32.2,49.2,*,3.1,-1.9
E34003104,Brixham BUA,16693,Small Towns,South West,Coastal,Smaller seaside town,E30000279,Torquay and Paignton,Majority town and city (small),Residential,Higher deprivation towns,No university,Low,174,41.8,56.9,79.9,47.1,31.6,25.3,12.1,48.9,21.3,8.6,*,18.8,54.5,25.6,3.5,-4.4
E34003109,Murton (County Durham) BUA,7413,Small Towns,North East,Non-coastal,Smaller non-coastal town,E30000275,Sunderland,Majority conurbation,Residential,Higher deprivation towns,No university,Low,56,67.2,64.3,85.7,35.7,26.8,*,*,33.9,*,*,*,29.1,49.1,*,3.2,-2.6
E34003112,Tiverton BUA,19544,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000206,Exeter,Majority town and city (Large Towns),Working,Higher deprivation towns,No university,Low,218,66.5,51.8,75.2,38.5,20.6,27.5,15.6,59.2,30.3,10.1,*,30.0,48.4,18.4,3.1,-3.8
E34003124,Hurstpierpoint BUA,12730,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000196,Crawley,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,High,109,70.4,69.7,93.6,57.8,41.3,16.5,*,45.0,18.3,*,*,14.8,51.9,32.4,3.8,2.1
E34003129,South Hayling BUA,15485,Small Towns,South East,Coastal,Smaller seaside town,E30000254,Portsmouth,Majority town and city (Large Towns),Residential,Mid deprivation towns,No university,Medium,128,74.0,49.2,82.0,45.3,27.3,16.4,7.8,56.3,21.1,8.6,*,25.8,53.9,19.5,3.3,-2.3
E34003154,Egremont BUA,6222,Small Towns,North West,Non-coastal,Smaller non-coastal town,E30000286,Whitehaven,Majority rural,Residential,Higher deprivation towns,No university,Low,82,85.4,57.3,79.3,47.6,12.2,47.6,39.0,63.4,40.2,18.3,*,28.4,58.0,*,3.2,-0.1
E34003165,Swaffham BUA,7258,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000225,King's Lynn,Majority rural,Mixed,Higher deprivation towns,No university,Low,64,55.4,57.8,73.4,42.2,31.3,15.6,*,56.3,26.6,*,*,27.3,42.4,*,3.6,-3.0
E34003168,Ledbury BUA,8862,Small Towns,West Midlands,Non-coastal,Smaller non-coastal town,E30000216,Hereford,Majority rural,Mixed,Lower deprivation towns,No university,Medium,91,70.4,57.1,76.9,35.2,27.5,20.9,*,52.7,23.1,*,*,33.3,37.6,26.9,3.3,-2.6
E34003174,Skipton BUA,14623,Small Towns,Yorkshire and The Humber,Non-coastal,Smaller non-coastal town,E30000039,Skipton,Majority rural,Working,Mid deprivation towns,No university,Medium,148,78.5,56.8,88.5,46.6,40.5,17.6,10.1,41.9,18.9,8.1,*,30.9,34.9,33.6,3.7,0.2
E34003178,Bradford on Avon BUA,9149,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000280,Trowbridge,Majority town and city (small),Mixed,Lower deprivation towns,No university,High,94,68.8,62.8,85.1,58.5,47.9,18.1,10.6,40.4,19.1,*,*,19.1,41.5,37.2,3.8,1.1
E34003196,Oundle BUA,5735,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000108,Peterborough,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,High,59,75.5,57.6,88.1,57.6,42.4,16.9,*,47.5,23.7,*,*,19.7,45.9,*,3.7,1.0
E34003205,Sherburn in Elmet BUA,6657,Small Towns,Yorkshire and The Humber,Non-coastal,Smaller non-coastal town,E30000294,York,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,Low,70,84.6,52.9,85.7,35.7,28.6,27.1,18.6,57.1,34.3,*,*,29.0,49.3,*,3.4,-1.1
E34003206,Ludlow BUA,10515,Small Towns,West Midlands,Non-coastal,Smaller non-coastal town,E30000236,Ludlow,Majority rural,Mixed,Higher deprivation towns,No university,Low,106,66.7,54.7,82.1,36.8,23.6,17.0,11.3,63.2,30.2,*,*,36.8,43.4,*,3.1,-3.7
E34003218,Bingham BUA,9131,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000249,Nottingham,Majority conurbation,Residential,Lower deprivation towns,No university,Medium,113,83.3,81.4,96.5,63.7,44.2,17.7,13.3,47.8,23.0,*,*,20.7,38.7,40.5,4.1,5.9
E34003222,Lewes BUA,17297,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000204,Eastbourne,Majority town and city (Large Towns),Working,Mid deprivation towns,No university,High,190,82.8,73.2,85.3,61.1,44.7,13.2,*,41.6,14.2,7.4,*,16.3,44.2,36.8,3.8,4.1
E34003241,Benson BUA,5802,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000250,Oxford,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,High,46,79.2,80.4,97.8,76.1,32.6,*,*,58.7,41.3,*,*,*,53.2,*,3.7,5.5
E34003243,Liphook BUA,6480,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000212,Guildford and Aldershot,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,Medium,88,80.5,77.3,92.0,58.0,39.8,13.6,*,51.1,23.9,*,*,16.1,48.3,34.5,3.8,4.0
E34003244,Haxby BUA,11894,Small Towns,Yorkshire and The Humber,Non-coastal,Smaller non-coastal town,E30000294,York,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,123,78.7,71.5,93.5,61.8,48.8,26.0,19.5,53.7,19.5,*,*,17.6,42.4,40.0,4.0,4.1
E34003253,Shaftesbury BUA,7314,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000172,Blandford Forum and Gillingham,Majority rural,Working,Mid deprivation towns,No university,Medium,84,84.1,60.7,82.1,41.7,29.8,20.2,14.3,41.7,28.6,*,*,35.3,35.3,29.4,3.4,0.2
E34003258,Bungay BUA,5127,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000235,Lowestoft,Majority town and city (small),Working,Mid deprivation towns,No university,Low,81,65.2,44.4,74.1,40.7,18.5,18.5,*,53.1,30.9,*,*,37.0,42.0,*,3.0,-4.9
E34003294,Calne BUA,17274,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000276,Swindon,Majority town and city (Large Towns),Residential,Mid deprivation towns,No university,Medium,225,72.3,58.7,85.3,49.8,33.3,12.4,7.6,47.1,20.0,7.6,*,27.8,43.0,26.9,3.5,-0.5
E34003297,King's Hill BUA,7459,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000242,Medway,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,Medium,98,80.2,78.6,90.8,65.3,51.0,15.3,12.2,42.9,24.5,*,*,21.2,32.3,45.5,4.1,5.5
E34003299,Cobham (Elmbridge) BUA,17273,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000212,Guildford and Aldershot,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,High,66,72.1,62.1,81.8,57.6,37.9,*,*,45.5,24.2,*,*,24.2,47.0,*,3.2,-0.2
E34003308,Beccles BUA,13868,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000235,Lowestoft,Majority town and city (small),Working,Higher deprivation towns,No university,Low,160,68.6,58.1,91.9,50.0,31.3,23.1,15.6,49.4,22.5,11.3,*,28.8,45.0,25.0,3.4,-1.1
E34003332,Tiptree BUA,9182,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000193,Colchester,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Low,108,77.8,59.3,88.9,47.2,27.8,13.9,10.2,49.1,26.9,*,*,27.5,48.6,22.9,3.3,-0.5
E34003343,Peacehaven BUA,18579,Small Towns,South East,Coastal,Smaller other coastal town,E30000179,Brighton,Majority town and city (Large Towns),Residential,Higher deprivation towns,No university,Low,196,70.5,55.1,82.1,40.3,28.1,19.9,12.8,53.6,27.6,8.2,*,24.1,50.3,23.1,3.4,-2.2
E34003347,Tetbury BUA,5472,Small Towns,South West,Non-coastal,Smaller non-coastal town,E30000276,Swindon,Majority town and city (Large Towns),Mixed,Lower deprivation towns,No university,Medium,56,76.8,55.4,67.9,48.2,35.7,*,*,60.7,28.6,*,*,33.9,33.9,*,3.2,-1.2
E34003354,Leighton Buzzard BUA,37469,Medium Towns,East of England,Non-coastal,Large non-coastal town,E30000243,Milton Keynes,Majority town and city (Large Towns),Mixed,Lower deprivation towns,No university,Medium,380,74.4,56.3,78.4,48.7,34.2,21.3,12.1,48.9,28.9,7.1,*,29.9,41.5,27.6,3.5,-0.6
E34003376,Broughton Astley BUA,8940,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000230,Leicester,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,117,88.0,62.4,85.5,53.8,34.2,22.2,12.0,47.0,24.8,*,*,17.1,51.3,29.9,3.7,2.7
E34003389,Whittlesey BUA,12745,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000108,Peterborough,Majority town and city (Large Towns),Residential,Higher deprivation towns,No university,Low,159,75.1,58.5,83.0,32.7,25.2,18.2,11.3,53.5,32.1,6.3,*,36.6,43.5,18.6,3.1,-2.7
E34003397,Brandon (Forest Heath) BUA,9145,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000135,Thetford and Mildenhall,Majority rural,Residential,Mid deprivation towns,No university,Low,75,61.0,42.7,82.7,45.3,26.7,17.3,*,58.7,34.7,*,*,30.1,43.8,*,3.2,-4.6
E34003412,Cottenham BUA,5903,Small Towns,East of England,Non-coastal,Smaller non-coastal town,E30000186,Cambridge,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,High,70,87.7,61.4,88.6,54.3,42.9,*,*,51.4,22.9,*,*,21.7,47.8,*,3.6,2.3
E34003418,Bourne BUA,13961,Small Towns,East Midlands,Non-coastal,Smaller non-coastal town,E30000108,Peterborough,Majority town and city (Large Towns),Working,Lower deprivation towns,No university,Medium,169,81.8,69.8,90.5,60.9,44.4,17.2,10.7,52.7,20.7,*,*,20.7,43.8,35.5,3.8,3.7
E34003424,Staplehurst BUA,5051,Small Towns,South East,Non-coastal,Smaller non-coastal town,E30000242,Medway,Majority town and city (Large Towns),Residential,Lower deprivation towns,No university,Medium,53,72.9,66.0,88.7,54.7,37.7,22.6,18.9,62.3,32.1,*,*,35.8,26.4,*,3.8,1.5
E34003425,Cheadle BUA,11404,Small Towns,West Midlands,Non-coastal,Smaller non-coastal town,E30000273,Stoke-on-Trent,Majority town and city (Large Towns),Residential,Mid deprivation towns,No university,Low,109,79.8,65.1,85.3,52.3,27.5,23.9,15.6,61.5,33.9,*,*,25.9,49.1,23.1,3.4,1.0
